strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_CA4433AA	37109	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475609	SRS902083	SRP042645	PRJNA248792	11
SAL_BA2212AA	FDA00001199	2	2008	Sri Lanka	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	pepper	black	 whole	Environment	Plant	SAMN02844584	SRS978500	SRP018785
SAL_CA5814AA	71400	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468463	SRS899140	SRP042645	PRJNA248792	11
SAL_DA1241AA	H122420299	6	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168591	SRS739899	SRP042645	PRJNA248792	11
SAL_CA6293AA	48224	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466177	SRS898327	SRP042645	PRJNA248792	11
SAL_BA9566AA	50833	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479298	SRS905786	SRP042645	PRJNA248792	11
SAL_BA9092AA	RD55-sc-2013-02-27T10:26:44Z-1500443				THE SANGER CENTER				SAMEA2053399	ERS217228	ERP001965	PRJEB634	11
SAL_BA5675AA	CFSAN032482	5	2006	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	cake	Food	Composite Food	SAMN03492328	SRS922993	SRP057694	PRJNA271293	11
SAL_FA3831AA	133214	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574820	SRS1356530	SRP042645	PRJNA248792	11
SAL_BA4601AA	LB_SW824_4				THE SANGER CENTER				SAMEA2018772	ERS159709	ERP001671	PRJEB3186	11
SAL_FA3448AA	128180	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576571	SRS1357850	SRP042645	PRJNA248792	11
SAL_AA8734AA	SE1347_11-sc-2013-07-15T10:31:17Z-1661422				THE SANGER CENTER				SAMEA2156540	ERS325069	ERP003509	PRJEB4240	11
SAL_BA5012AA	CFSAN024486	11	2009	Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	ND	Environment	Water	SAMN03464421	SRS909724	SRP029479	PRJNA217342	11
SAL_GA3632AA	BCW_2680		2002	Taiwan	UCD-100K	"Human; Homo sapiens"	Human	Human	SAMN02368559	SRS528685	SRP022914	PRJNA203445	11
SAL_BA7334AA	09:MF0000575R				THE SANGER CENTER				SAMEA1030774	ERS037368	ERP000715	PRJEB2566	11
SAL_DA3796AA	IEH-NGS-SAL-01229	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952839	SRS694854	SRP018785	PRJNA186035	11
SAL_AA9826AA	UY041-sc-2013-10-08T14:24:30Z-1711488				THE SANGER CENTER				SAMEA2201675	ERS354078	ERP003958	PRJEB4649	11
SAL_GA1292AA	S668_06-sc-2140706				The Wellcome Trust Sanger Institute				SAMEA2794665	ERS556644	ERP007134	PRJEB7407	11
SAL_BA8802AA	53133	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479699	SRS906219	SRP042645	PRJNA248792	11
SAL_CA4968AA	73554	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469900	SRS900850	SRP042645	PRJNA248792	11
SAL_BA4589AA	LB_SW824_14_1				THE SANGER CENTER				SAMEA1969373	ERS159714	ERP001671	PRJEB3186	11
SAL_BA9378AA	25216	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479436	SRS905953	SRP042645	PRJNA248792	11
SAL_BA8362AA	63578	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479923	SRS906451	SRP042645	PRJNA248792	11
SAL_DA1070AA	H123740519	9	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168805	SRS740123	SRP042645	PRJNA248792	11
SAL_CA4638AA	63599	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475404	SRS902098	SRP042645	PRJNA248792	11
SAL_CA6436AA	62511	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466034	SRS898177	SRP042645	PRJNA248792	11
SAL_GA4916AA	E2016010140	6	2016	United States	FDA Center for Food Safety and Applied Nutrition	"Homo sapiens; Feces"	Human	Human	SAMN05366682	SRS1568844	SRP040026	PRJNA237212	11
SAL_EA8092AA	1515			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04362905	SRS1219232	SRP042645	PRJNA248792	11
SAL_BA5101AA	PNUSAS000299			United States					SAMN03610077	SRS932387	SRP040281	PRJNA230403	11
SAL_EA7919AA	21851			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363079	SRS1219431	SRP042645	PRJNA248792	11
SAL_CA5528AA	78668	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468954	SRS899850	SRP042645	PRJNA248792	11
SAL_AA9878AA	UY011-sc-2013-10-08T12:35:55Z-1711458				THE SANGER CENTER				SAMEA2201440	ERS353817	ERP003958	PRJEB4649	11
SAL_AA9875AA	UY014-sc-2013-10-08T12:42:53Z-1711461				THE SANGER CENTER				SAMEA2201443	ERS353822	ERP003958	PRJEB4649	11
SAL_FA5666AA	MS150056		2015	Ireland	NSSLRL		Human	Human					11
SAL_AA9869AA	UY020-sc-2013-10-08T14:24:05Z-1711467				THE SANGER CENTER				SAMEA2201654	ERS354057	ERP003958	PRJEB4649	11
SAL_CA5678AA	71396	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	ND	ND	Other Mammal	SAMN03468624	SRS899206	SRP042645	PRJNA248792	11
SAL_CA1682AA	26666	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478197	SRS904700	SRP042645	PRJNA248792	11
SAL_FA5891AA	MS150266		2015	Ireland	NSSLRL		Human	Human					11
SAL_BA5659AA	CFSAN032481	5	2006	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"stool; Homo sapiens"	Human	Human	SAMN03492327	SRS923013	SRP057694	PRJNA271293	11
SAL_DA0998AA	H121980557	5	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168885	SRS740251	SRP042645	PRJNA248792	11
SAL_CA5196AA	71575	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469646	SRS900662	SRP042645	PRJNA248792	11
SAL_AA9879AA	UY010-sc-2013-10-08T12:35:46Z-1711457				THE SANGER CENTER				SAMEA2201439	ERS353816	ERP003958	PRJEB4649	11
SAL_DA3459AA	CFSAN023289	10	2000	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN02989005	SRS697247	SRP032981	PRJNA215333	11
SAL_CA5033AA	71402	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469833	SRS900771	SRP042645	PRJNA248792	11
SAL_EA7185AA	21854			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363888	SRS1220213	SRP042645	PRJNA248792	11
SAL_DA9915AA	FSF0075	7	2011	China	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	tilapia	Aquatic	Fish	SAMN02483551	SRS551162	SRP018785	PRJNA186035	11
SAL_BA7790AA	32392	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480207	SRS906718	SRP042645	PRJNA248792	11
SAL_DA0480AA	H120540611	2	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169583	SRS740894	SRP042645	PRJNA248792	11
SAL_CA4833AA	3788	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03473969	SRS901754	SRP042645	PRJNA248792	11
SAL_EA6950AA	82520			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364140	SRS1220502	SRP042645	PRJNA248792	11
SAL_CA3579AA	14125	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476471	SRS903024	SRP042645	PRJNA248792	11
SAL_AA9870AA	UY019-sc-2013-10-08T14:24:04Z-1711466				THE SANGER CENTER				SAMEA2201653	ERS354056	ERP003958	PRJEB4649	11
SAL_BA4542AA	MM_SW824_14				THE SANGER CENTER				SAMEA2018909	ERS159738	ERP001671	PRJEB3186	11
SAL_FA3406AA	130304	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576728	SRS1357835	SRP042645	PRJNA248792	11
SAL_BA5658AA	3857-sc-2012-11-09T12:21:30Z-1500174				THE SANGER CENTER				SAMEA1712485	ERS188238	ERP001965	PRJEB634	11
SAL_EA7217AA	20902			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363856	SRS1220173	SRP042645	PRJNA248792	11
SAL_FA7326AA	134034	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN05173207	SRS1466543	SRP042645	PRJNA248792	11
SAL_DA9302AA	SA19994216		1999	Canada		Animal - Porcine-Feces	Livestock	Swine	SAMN02384220	SRS566068	SRP039437	PRJNA219482	11
SAL_CA2516AA	42003	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477545	SRS904081	SRP042645	PRJNA248792	11
SAL_CA9830AA	NY-swgs1534	10	2014	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"stool; Homo sapiens"	Human	Human	SAMN03195947	SRS753507	SRP033012	PRJNA227458	11
SAL_CA3748AA	56147	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476302	SRS902782	SRP042645	PRJNA248792	11
SAL_DA1186AA	H122040338	5	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168650	SRS739955	SRP042645	PRJNA248792	11
SAL_BA9106AA	RD3-sc-2013-02-27T10:26:28Z-1500429				THE SANGER CENTER				SAMEA2054178	ERS217214	ERP001965	PRJEB634	11
SAL_GA3066AA	351845				The Genome Center at Washington University School of Medicine in St. Louis				SAMN02937425	SRS666068	SRP044794	PRJNA168726	11
SAL_CA1499AA	38412	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478293	SRS904892	SRP042645	PRJNA248792	11
SAL_EA7669AA	82516			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363336	SRS1219706	SRP042645	PRJNA248792	11
SAL_EA2423AA	FDA00000460	7	2003	Mexico	FDA	dried fish	Aquatic	Fish	SAMN02843845	SRS1093233	SRP018785	PRJNA186035	11
SAL_BA9556AA	76001	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479303	SRS905918	SRP042645	PRJNA248792	11
SAL_EA3409AA	BS_21887-sc-2322428				The Wellcome Trust Sanger Institute				SAMEA3463283	ERS758878	ERP010763	PRJEB9635	11
SAL_BA8674AA	9465	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479765	SRS906282	SRP042645	PRJNA248792	11
SAL_CA5065AA	71389	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	ND	ND	Other Mammal	SAMN03469799	SRS900717	SRP042645	PRJNA248792	11
SAL_EA7552AA	20913			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363464	SRS1219836	SRP042645	PRJNA248792	11
SAL_GA1170AA	FieldSE-sc-2140653				The Wellcome Trust Sanger Institute				SAMEA2794612	ERS556591	ERP007134	PRJEB7407	11
SAL_BA8810AA	27064	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479695	SRS906223	SRP042645	PRJNA248792	11
SAL_BA9118AA	P13-sc-2013-02-27T10:26:21Z-1500422				THE SANGER CENTER				SAMEA2053392	ERS217207	ERP001965	PRJEB634	11
SAL_BA9090AA	RD72-sc-2013-02-27T10:26:46Z-1500445				THE SANGER CENTER				SAMEA2053254	ERS217230	ERP001965	PRJEB634	11
SAL_FA3844AA	183662	11	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574794	SRS1356451	SRP042645	PRJNA248792	11
SAL_DA3567AA	IEH-NGS-SAL-01211	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952821	SRS696147	SRP018785	PRJNA186035	11
SAL_CA5742AA	66462	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468535	SRS899121	SRP042645	PRJNA248792	11
SAL_BA9088AA	RD79-sc-2013-02-27T10:26:48Z-1500447				THE SANGER CENTER				SAMEA2054249	ERS217232	ERP001965	PRJEB634	11
SAL_CA0079AA	29386	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479041	SRS905628	SRP042645	PRJNA248792	11
SAL_CA3611AA	41994	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476439	SRS903000	SRP042645	PRJNA248792	11
SAL_BA5572AA	A45427-sc-2012-11-09T12:22:10Z-1500215				THE SANGER CENTER				SAMEA1712473	ERS188279	ERP001965	PRJEB634	11
SAL_CA6326AA	66477	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466144	SRS898292	SRP042645	PRJNA248792	11
SAL_FA6762AA	RKI_14-04275		2014	Germany	S.Simon (RKI)								11
SAL_CA3876AA	31650	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476174	SRS902891	SRP042645	PRJNA248792	11
SAL_CA4910AA	78713	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469965	SRS900907	SRP042645	PRJNA248792	11
SAL_BA9505AA	Salmonella_ser__Enteriditis_07_02760-sc-2012-09-05T10:55:54Z-1476166				THE SANGER CENTER				SAMEA1687823	ERS168210	ERP001028	PRJEB2770	11
SAL_EA7215AA	5853			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363858	SRS1220169	SRP042645	PRJNA248792	11
SAL_CA3442AA	38342	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476607	SRS903239	SRP042645	PRJNA248792	11
SAL_EA7999AA	100723			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04362999	SRS1219342	SRP042645	PRJNA248792	11
SAL_BA7321AA	09:MF0021482R				THE SANGER CENTER				SAMEA1030778	ERS037387	ERP000715	PRJEB2566	11
SAL_BA9101AA	RD40-sc-2013-02-27T10:26:33Z-1500434				THE SANGER CENTER				SAMEA2053396	ERS217219	ERP001965	PRJEB634	11
SAL_CA2794AA	27034	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477267	SRS903984	SRP042645	PRJNA248792	11
SAL_CA6151AA	50147	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466319	SRS898465	SRP042645	PRJNA248792	11
SAL_BA0177AA	201009544-sc-2013-06-10T14:57:48Z-1611335				THE SANGER CENTER				SAMEA2078098	ERS255511	ERP001965	PRJEB634	11
SAL_DA3313AA	CFSAN023299	6	2001	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN02989015	SRS699127	SRP018785	PRJNA186035	11
SAL_BA9102AA	RD36-sc-2013-02-27T10:26:32Z-1500433				THE SANGER CENTER				SAMEA2053250	ERS217218	ERP001965	PRJEB634	11
SAL_DA0698AA	H124740793	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169286	SRS740626	SRP042645	PRJNA248792	11
SAL_EA6243AA	NY59918471	10	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN04232047	SRS1145550	SRP033012	PRJNA227458	11
SAL_BA4594AA	LB_SW824_13				THE SANGER CENTER				SAMEA2018773	ERS159712	ERP001671	PRJEB3186	1984
SAL_EA7850AA	21088			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363152	SRS1219513	SRP042645	PRJNA248792	11
SAL_FA5482AA	E2016005028	3	2016	United States	FDA Center for Food Safety and Applied Nutrition	"Homo sapiens; Feces"	Human	Human	SAMN04858541	SRS1401485	SRP040026	PRJNA237212	11
SAL_GA7178AA	CFSAN025361		2006	United Kingdom	FDA Center for Food Safety and Applied Nutrition	retail meat	Food	Meat	SAMN03218281	SRS1606155	SRP048657	PRJNA259925	11
SAL_BA4545AA	MM_SW824_7				THE SANGER CENTER				SAMEA2018880	ERS159736	ERP001671	PRJEB3186	11
SAL_FA3725AA	171322	10	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575093	SRS1356624	SRP042645	PRJNA248792	11
SAL_CA5334AA	69702	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469111	SRS900440	SRP042645	PRJNA248792	11
SAL_DA3569AA	IEH-NGS-SAL-01213	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952823	SRS696145	SRP018785	PRJNA186035	11
SAL_EA7063AA	21847			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364011	SRS1220351	SRP042645	PRJNA248792	11
SAL_DA0905AA	H121940508	5	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169022	SRS740411	SRP042645	PRJNA248792	11
SAL_CA0140AA	60098	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479009	SRS905511	SRP042645	PRJNA248792	11
SAL_FA6908AA	RKI_15-03538		2015	Germany	S. Simon (RKI)								11
SAL_CA4332AA	45557	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475716	SRS902261	SRP042645	PRJNA248792	11
SAL_CA0597AA	25227	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478779	SRS905312	SRP042645	PRJNA248792	11
SAL_FA7301AA	MS150319		2015	Ireland	NSSLRL		Human	Human					11
SAL_DA0532AA	H123380358	8	2012		Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169528	SRS740814	SRP042645	PRJNA248792	11
SAL_CA5654AA	68894	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468648	SRS899304	SRP042645	PRJNA248792	11
SAL_BA9076AA	S6669_03N-sc-2013-02-27T10:27:01Z-1500459				THE SANGER CENTER				SAMEA2054253	ERS217244	ERP001965	PRJEB634	11
SAL_CA0467AA	36393	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478849	SRS905383	SRP042645	PRJNA248792	11
SAL_BA9069AA	104_AM25928_B-sc-2013-02-27T10:27:11Z-1500466				THE SANGER CENTER				SAMEA2053284	ERS217251	ERP001965	PRJEB634	11
SAL_BA9311AA	45620	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479503	SRS906007	SRP042645	PRJNA248792	11
SAL_DA9206AA	EC20121178			Canada		environmental-chicken	Poultry	Avian	SAMN02384316	SRS566171	SRP039437	PRJNA219482	11
SAL_BA0196AA	93_7053-sc-2013-06-10T14:56:54Z-1611295				THE SANGER CENTER				SAMEA2080491	ERS255471	ERP001965	PRJEB634	11
SAL_CA1560AA	23076	6	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478263	SRS904854	SRP042645	PRJNA248792	11
SAL_BA4547AA	MM_SW824_4				THE SANGER CENTER				SAMEA2018908	ERS159735	ERP001671	PRJEB3186	11
SAL_EA9355AA	FDA00000266	6	2002	Thailand	FDA Center for Food Safety and Applied Nutrition	frz lobster tails	Aquatic	Shellfish	SAMN02843651	SRS1271473	SRP018785	PRJNA186035	11
SAL_FA1497AA	PNUSAS001515			United States	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch				SAMN04518055	SRS1324685	SRP040281	PRJNA230403	11
SAL_BA9120AA	P12-sc-2013-02-27T10:26:19Z-1500421				THE SANGER CENTER				SAMEA2053246	ERS217206	ERP001965	PRJEB634	11
SAL_EA6960AA	29961			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364129	SRS1220482	SRP042645	PRJNA248792	11
SAL_CA2652AA	40367	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477409	SRS903925	SRP042645	PRJNA248792	11
SAL_BA4587AA	LB_SW824_14_2				THE SANGER CENTER				SAMEA2018774	ERS159715	ERP001671	PRJEB3186	11
SAL_CA0348AA	9281	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478909	SRS905417	SRP042645	PRJNA248792	11
SAL_AA9774AA	UY0140-sc-2013-10-08T14:26:25Z-1711588				THE SANGER CENTER				SAMEA2201775	ERS354178	ERP003958	PRJEB4649	11
SAL_AA8729AA	SE1638_90-sc-2013-07-15T10:31:22Z-1661428				THE SANGER CENTER				SAMEA2144838	ERS325075	ERP003509	PRJEB4240	11
SAL_AA9899AA	UY001-sc-2013-10-08T11:53:56Z-1711448				THE SANGER CENTER				SAMEA2201429	ERS353806	ERP003958	PRJEB4649	11
SAL_AA9893AA	UY007-sc-2013-10-08T12:34:40Z-1711454				THE SANGER CENTER				SAMEA2201430	ERS353807	ERP003958	PRJEB4649	11
SAL_AA9895AA	UY005-sc-2013-10-08T12:35:11Z-1711452				THE SANGER CENTER				SAMEA2201434	ERS353811	ERP003958	PRJEB4649	11
SAL_AA9898AA	UY002-sc-2013-10-08T12:34:49Z-1711449				THE SANGER CENTER				SAMEA2201431	ERS353808	ERP003958	PRJEB4649	11
SAL_CA3146AA	40281	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476903	SRS903420	SRP042645	PRJNA248792	11
SAL_BA9310AA	38776	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479504	SRS906006	SRP042645	PRJNA248792	11
SAL_DA0573AA	H123540624	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169488	SRS740771	SRP042645	PRJNA248792	11
SAL_EA7890AA	18527			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363110	SRS1219600	SRP042645	PRJNA248792	11
SAL_FA3777AA	166228	9	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574929	SRS1356597	SRP042645	PRJNA248792	11
SAL_FA7706AA	I2016007594	5	2016	United States	FDA Center for Food Safety and Applied Nutrition	"Homo sapiens; Feces"	Human	Human	SAMN05209831	SRS1487770	SRP040026	PRJNA237212	11
SAL_FA3782AA	130369	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574924	SRS1356582	SRP042645	PRJNA248792	11
SAL_CA6017AA	60355	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466453	SRS898599	SRP042645	PRJNA248792	11
SAL_FA3499AA	123899	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576508	SRS1357743	SRP042645	PRJNA248792	11
SAL_FA3799AA	123846	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574852	SRS1356561	SRP042645	PRJNA248792	11
SAL_FA3767AA	107125	4	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575049	SRS1356589	SRP042645	PRJNA248792	11
SAL_FA3764AA	152452	8	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575052	SRS1356586	SRP042645	PRJNA248792	11
SAL_FA3978AA	179657	10	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574156	SRS1356108	SRP042645	PRJNA248792	11
SAL_FA3946AA	142529	8	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574690	SRS1356134	SRP042645	PRJNA248792	11
SAL_CA1776AA	34170	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478139	SRS904646	SRP042645	PRJNA248792	11
SAL_CA2539AA	38343	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477522	SRS904061	SRP042645	PRJNA248792	11
SAL_FA3873AA	107309	4	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574765	SRS1356312	SRP042645	PRJNA248792	11
SAL_FA3884AA	122697	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574754	SRS1356226	SRP042645	PRJNA248792	11
SAL_CA6418AA	48243	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466052	SRS898200	SRP042645	PRJNA248792	11
